Id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
42,1168.7,5.8146,9.4842,0,0,115.47,18.868,0.49751,1.0945,953.58,4.7442,13.681,0,0,52.674,39.085,0.49751,0.69652,830.06,4.1297,14.272,0,0,85.755,50.649,0.199,0.49751,1
43,875.89,4.3577,9.7341,0,0,105.89,71.111,0.199,0.39801,728.37,3.6237,11.656,0,0,51.712,52.215,0.29851,0.69652,1063.7,5.292,9.4383,0,0,95.404,50.181,0.49751,0.69652,1
44,853.2,4.2448,9.2572,0,0,109.81,58.659,0.199,0.49751,744.91,3.706,10.103,0,0,138.25,44.555,0.199,0.49751,974.93,4.8504,9.4834,0,0,85.171,22.645,0.39801,0.89552,1
45,1037,5.1593,9.0348,0,0,74.805,42.382,0.29851,0.59701,799,3.9751,9.6753,0,0,79.458,70.732,0.199,0.49751,840.22,4.1802,12.573,0,0,128.48,70.83,0.39801,0.59701,1
46,1131.7,5.6304,8.3695,0,0,101.03,122.57,0.199,0.39801,1048.9,5.2183,8.9791,0,0,79.186,61.287,0.199,0.39801,1216.5,6.0522,9.3936,0,0,96.992,63.448,0.29851,0.59701,1
47,908.82,4.5215,11.127,0,0,82.291,83.171,0.199,0.39801,844.91,4.2035,12.147,0,0,45.434,63.279,0.199,0.39801,1212,6.0299,10.706,0,0,124.72,94.274,0.199,0.49751,1
48,848.04,4.2191,10.667,0,0,88.676,17.011,0.39801,1.194,598.88,2.9795,10.934,0,0,67.79,15.775,0.49751,0.89552,789.68,3.9288,9.7442,0,0,81.583,76.356,0.29851,0.49751,1
49,702.24,3.4937,10.054,0,0,50.673,52.376,0.39801,0.59701,682.1,3.3935,9.1958,0,0,74.351,17.226,0.39801,1.194,859.56,4.2764,11.051,0,0,38.053,83.678,0.199,0.39801,1
50,623.97,3.1043,10.659,0,0,52.976,67.391,0.29851,0.59701,722.01,3.5921,10.966,0,0,92.693,35.053,0.29851,0.59701,818.84,4.0738,7.5617,0,0,121.93,49.927,0.199,0.69652,1
51,722.73,3.5957,8.0689,0,0,70.48,30.029,0.199,0.59701,705.98,3.5123,9.8489,0,0,91.194,33.969,0.29851,0.59701,846.39,4.2109,8.9651,0,0,22.447,20.246,0.79602,1.2935,1
